Price,Date,Close,High,Low,Open,Volume
670,2023-08-04,59830.8359375,60494.88339342034,59830.8359375,60229.26363546345,1841267
671,2023-08-07,60295.671875,60295.671875,59764.43233855264,59830.83825009454,1860865
672,2023-08-08,60229.265625,60561.291302899765,59830.8379138754,60295.67153616873,1231014
673,2023-08-09,59897.2421875,60362.07579708514,59830.83627814676,60229.26397837866,1051928
674,2023-08-10,58768.359375,60096.45822058847,58768.359375,60096.45822058847,2133556
675,2023-08-11,60030.05078125,60030.05078125,58768.357879533,58768.357879533,1406540
676,2023-08-14,59100.3828125,59963.64412090615,59100.3828125,59963.64412090615,2369320
677,2023-08-15,59033.9765625,59764.429926144185,58768.35680499813,59764.429926144185,1746931
678,2023-08-16,59233.19140625,59366.003226204026,58901.16961225256,58967.57164428576,1256300
679,2023-08-17,59366.00390625,59631.62367125695,58834.7643762361,59233.19208477459,3236849
680,2023-08-18,59432.41015625,59963.64581135253,59100.38447861002,59631.62401165644,3802388
681,2023-08-21,59631.625,59897.24477092563,59233.193404639576,59565.21908778261,2587744
682,2023-08-22,58701.953125,59565.21833914444,58303.52541259112,59432.41039432278,2897345
683,2023-08-23,57307.453125,59033.97970159727,57174.641300215,59033.97970159727,2653342
684,2023-08-24,57772.28515625,58569.14444906453,57108.233806599295,57307.451538260815,1455835
685,2023-08-25,57241.046875,57772.28641511883,57108.23505099833,57241.046875,2192567
686,2023-08-28,57772.28515625,58104.31083107535,57241.045627706975,57373.85357087081,2166105
687,2023-08-29,58701.953125,58768.35903638278,57705.8799660339,57772.28587741668,2173584
688,2023-08-30,59166.7890625,59432.40882306484,58768.35748268085,58768.35748268085,2094497
689,2023-08-31,59166.7890625,59498.8108547482,58635.54954137033,59166.7890625,3692650
690,2023-09-05,59830.8359375,60229.26363546345,59166.788481579664,59166.788481579664,3009736
691,2023-09-06,59897.2421875,59897.2421875,59565.21651867756,59897.2421875,3076116
692,2023-09-07,59432.41015625,60295.67148899251,59432.41015625,59764.4319559461,2927661
693,2023-09-08,59432.41015625,59432.41015625,59166.7903897268,59432.41015625,2065947
694,2023-09-11,58768.359375,59764.43253970537,58436.3336941169,59498.81277058768,3875787
695,2023-09-12,59698.02734375,59764.43325631165,59033.97985196546,59100.38576452711,2410089
696,2023-09-13,59166.7890625,59764.43061531304,59033.97724324568,59764.43061531304,2504125
697,2023-09-14,59166.7890625,59432.40882306484,58502.73772211601,59100.38315287284,2321137
698,2023-09-15,59631.625,59631.625,58834.76568722311,59033.97954593135,3341923
699,2023-09-18,58967.5703125,59565.21573290764,58635.548526001294,59432.407793896906,1179707
700,2023-09-19,58502.73828125,59233.19166029858,57108.23355547082,58967.57189719512,1809253
701,2023-09-20,58436.33203125,58701.95179280921,57373.85298501318,58502.73794112576,1580255
702,2023-09-21,57772.28515625,58436.33262795685,57639.47333514231,58436.33262795685,2033065
703,2023-09-22,59299.59765625,59432.40947696557,57108.23363799383,57373.85340148113,4006016
704,2023-09-25,59299.59765625,59432.40947696557,58635.55018650368,59100.38380312049,3443614
705,2023-09-26,57772.28515625,59366.00374187906,57705.87924569616,59233.19192077138,2486506
706,2023-09-27,58303.5234375,59100.382713267245,57772.28392032184,58170.71161923357,2046508
707,2023-09-28,58436.33203125,58635.549760877264,57506.66480476469,57905.09250813159,1592327
708,2023-09-29,58104.3125,58635.55204380176,57838.69272809912,58635.55204380176,916907
709,2023-10-02,57440.2578125,57905.09141698346,57440.2578125,57838.68938630278,1144745
710,2023-10-03,57307.453125,57573.07289662604,56975.42744098146,57440.26107184104,1594567
711,2023-10-04,57307.453125,57307.453125,56643.40175696292,57307.453125,1379586
712,2023-10-05,56112.16015625,57108.233293838704,56112.16015625,57108.233293838704,1515930
713,2023-10-06,56709.8046875,56709.8046875,55448.11180810332,56112.15926328018,1197345
714,2023-10-09,56178.56640625,56709.80593323869,55780.13482203656,56709.80593323869,1812089
715,2023-10-10,57174.640625,57241.04653660826,56178.56746265166,56178.56746265166,1199140
716,2023-10-11,57440.2578125,57440.2578125,56909.018299392126,57241.04396457048,1219024
717,2023-10-12,57108.234375,57705.87982004525,56776.21257481388,57705.87982004525,1318739
718,2023-10-13,57506.6640625,57506.6640625,56776.21069712644,57108.232486332025,1178209
719,2023-10-16,57174.640625,57506.66630509742,56842.61494490258,56842.61494490258,824193
720,2023-10-17,57041.83203125,57440.25974048226,56776.21226578053,57174.6399750128,730158
721,2023-10-18,57041.83203125,57108.23406415946,56444.186589457735,56776.21226578053,1893268
722,2023-10-19,56112.16015625,57108.233293838704,55846.54039436342,56776.21149993835,2105857
723,2023-10-20,56311.375,56643.4006776922,54916.874133991776,55448.11366712173,1402908
724,2023-10-23,56112.16015625,56112.16015625,54784.06134681712,56112.16015625,1690247
725,2023-10-24,57108.234375,57440.26005313002,55713.73350715294,56112.16121855384,1486030
726,2023-10-25,56975.42578125,56975.42578125,56178.56648958492,56510.59216393133,1381529
727,2023-10-26,56112.16015625,57108.233293838704,55448.11269050547,56444.185828094174,2272848
728,2023-10-27,56444.1875,56444.1875,55647.32819073689,56178.56773024563,1362543
729,2023-10-30,57041.83203125,57108.23406415946,55448.11343843321,55448.11343843321,925255
