Date,Close,High,Low,Open,Volume
2023-04-10,13822.3759765625,14096.99271781871,13547.759235306292,13570.643963744307,23418200
2023-04-11,13913.9150390625,13913.9150390625,13547.759380139802,13822.376124331824,14688200
2023-04-12,14051.22265625,14165.64629351588,13776.60592681189,13913.914291530944,10902400
2023-04-13,13822.3759765625,14165.646903132762,13822.3759765625,14005.45380406664,8313600
2023-04-14,13227.373046875,13913.91490051903,13227.373046875,13822.375986699826,21550000
2023-04-17,13479.1044921875,13479.1044921875,13158.718307313771,13273.141944768677,14225000
2023-04-18,13341.796875,13456.220518867924,13227.373231132076,13456.220518867924,9231000
2023-04-19,13273.142578125,13456.220406788792,13273.142578125,13364.681492456895,12756200
2023-04-20,13204.48828125,13273.142466421144,13067.179910907713,13227.37300964038,15461400
2023-04-21,13135.833984375,13273.142353549652,13135.833984375,13273.142353549652,7359600
2023-04-24,13501.990234375,13616.413880429023,13112.949837791311,13135.83456700212,7297400
2023-04-25,13273.142578125,13662.18296403556,13273.142578125,13570.644049703664,12091000
2023-04-26,13730.8369140625,13730.8369140625,13204.488165690103,13364.681263020831,14451200
2023-04-27,13685.068359375,13822.37673756271,13662.183629677049,13822.37673756271,5494400
2023-04-28,13501.990234375,13707.952797272246,13501.990234375,13707.952797272246,9766800
2023-05-04,13296.02734375,13501.989901570569,13227.37315780981,13501.989901570569,6942400
2023-05-05,13135.833984375,13364.681266332753,13021.410343396125,13296.027081745427,11305200
2023-05-08,13456.2197265625,13456.2197265625,13135.833542596723,13227.372452301232,12556600
2023-05-09,13410.451171875,13501.990087723976,13296.02752706378,13479.105358761732,5554402
2023-05-10,13410.451171875,13456.220629799487,13318.912256026024,13433.335900837244,11868800
2023-05-11,13318.912109375,13501.98993905713,13318.912109375,13501.98993905713,5505200
2023-05-12,13410.451171875,13410.451171875,13273.142798101537,13318.912256026024,6677200
2023-05-15,13685.068359375,13799.492007864756,13456.221062395483,13479.105792093436,22911000
2023-05-16,13639.2978515625,13776.60621919568,13616.413123623635,13776.60621919568,8458000
2023-05-17,13387.56640625,13685.067881944444,13387.56640625,13593.528966346154,17930600
2023-05-18,13524.875,13593.529187817256,13387.56662436548,13387.56662436548,12257800
2023-05-19,13570.6435546875,13616.413010183916,13387.565732701834,13524.874099191084,10342068
2023-05-22,13959.6845703125,14005.45402792008,13593.528909451845,13593.528909451845,21282800
2023-05-23,13891.0302734375,14051.223373790155,13730.837173084845,14051.223373790155,8614800
2023-05-24,13639.2978515625,13982.56877064545,13616.413123623635,13913.91458682886,34508400
2023-05-25,13639.2978515625,13685.067307440228,13547.758939807049,13639.2978515625,5547600
2023-05-26,13685.068359375,13707.953089072951,13570.644710885244,13685.068359375,3895800
2023-05-29,13822.3759765625,13822.3759765625,13639.29814905836,13730.837062810431,5734802
2023-05-30,13822.3759765625,13936.799618752588,13730.837062810431,13913.91489031457,16988400
2023-05-31,13707.9521484375,13868.14524533076,13685.067420309892,13822.375789075542,18658002
2023-06-01,13868.1455078125,13868.1455078125,13616.413493644286,13730.83713644802,23500600
2023-06-02,14737.7646484375,14737.7646484375,14051.222816988547,14096.992272418478,42726260
2023-06-05,14600.45703125,15012.38215125392,14600.45703125,14852.189049030174,14278404
2023-06-06,14966.61328125,14966.61328125,14531.803415280963,14600.457604644494,16876000
2023-06-07,14920.8427734375,14989.496957977855,14737.76494799655,14897.95804525738,17810468
2023-06-08,14531.802734375,14989.497308686025,14531.802734375,14966.612579970471,12727268
2023-06-09,14829.3037109375,14875.073166835457,14463.14806375386,14554.686975549768,25181860
2023-06-12,14966.61328125,15035.267470613531,14600.457604644494,14760.650713159404,11073068
2023-06-13,15012.3818359375,15058.151292754384,14829.30400866997,14966.612379120616,39556060
2023-06-14,14920.8427734375,15309.88315249952,14897.95804525738,15103.92059887845,19797068
2023-06-15,14943.7275390625,15058.151180249808,14829.303897875192,14920.84281082504,8176932
2023-06-16,14897.9580078125,15309.883114019296,14875.0732796899,14943.7274640577,16566298
2023-06-19,14691.99609375,14897.958655811915,14623.341906396028,14897.958655811915,18114932
2023-06-20,14714.880859375,14760.650317724534,14623.341942675934,14737.765588549766,11383900
2023-06-21,14875.07421875,14875.07421875,14691.99638221154,14714.881111778846,12131932
2023-06-22,14920.8427734375,15172.574783418808,14920.8427734375,15058.151142518214,14903898
2023-06-23,15058.1513671875,15218.34446683843,14897.95826753657,14943.727724579692,15585966
2023-06-26,15241.228515625,15241.228515625,14897.957603110925,15058.15069561749,8592664
2023-06-27,15081.0361328125,15286.998690013275,15058.151404234635,15241.22923285755,8028170
2023-06-28,15241.228515625,15241.228515625,14989.496513114676,15081.03542311843,9309664
2023-06-29,14943.7275390625,15286.998462624426,14943.7275390625,15241.229006149502,7824366
2023-06-30,14806.4189453125,15012.381496329212,14806.4189453125,14943.727312656974,5526498
2023-07-03,14646.2255859375,14966.611770629885,14646.2255859375,14966.611770629885,8642968
2023-07-04,14646.2255859375,14691.995040893557,14577.571403503418,14646.2255859375,10763498
2023-07-05,14623.341796875,14829.304357394369,14623.341796875,14714.880712661385,33203920
2023-07-06,14440.263671875,14669.110956690767,14280.070572503962,14623.341499727616,13502498
2023-07-07,14440.263671875,14554.687314282884,14325.840029467116,14417.378943393423,6838732
2023-07-10,14646.2255859375,14691.995040893557,14508.917221069336,14646.2255859375,13539102
2023-07-11,14623.341796875,14806.41962844777,14623.341796875,14737.765441607982,11602534
2023-07-12,14486.033203125,14646.226303317537,14463.148474526066,14600.456846119669,14160698
2023-07-13,14623.341796875,14646.226525821596,14486.033423195422,14508.91815214202,17105332
2023-07-14,14623.341796875,14737.765441607982,14508.91815214202,14737.765441607982,9316664
2023-07-17,14600.45703125,14691.995946806426,14554.687573471789,14691.995946806426,15043732
2023-07-18,14783.53515625,14783.53515625,14554.687862809596,14600.457321497675,17044144
2023-07-19,14783.53515625,15058.151908378482,14760.65042690596,14943.728261658282,14487334
2023-07-20,14600.45703125,14829.304320141067,14554.687573471789,14829.304320141067,11344594
2023-07-21,14783.53515625,14783.53515625,14577.572592153638,14577.572592153638,10598868
2023-07-24,14852.1884765625,14875.073204569531,14714.88010852032,14852.1884765625,17526034
2023-07-25,15332.767578125,15470.07594449627,14966.611934468285,15012.381389925373,27006640
2023-07-26,15309.8828125,15355.652267843796,15195.459174140507,15332.7675401719,16366776
2023-07-27,15149.6904296875,15309.883530907762,14966.61259972149,15264.114073416258,16256448
2023-07-28,15470.0771484375,15470.0771484375,15103.921476285132,15126.806205794655,21122440
2023-07-31,15698.923828125,15836.232199799562,15561.615456450438,15607.38491367529,15884148
2023-08-01,15561.6162109375,15836.232967601103,15561.6162109375,15836.232967601103,19449370
2023-08-02,15515.845703125,15607.3846158278,15447.191518597898,15515.845703125,11143140
2023-08-03,15332.767578125,15584.499583138992,15332.767578125,15561.614855410447,9415210
